Metodo,Acuracia
"Clf MultNeg ""E"" and ""uniq_Opnd""",0.990990990990991
"Clf MultNeg ""E"" and ""total_Op""",0.996996996996997
"Clf MultNeg ""E"" and ""total_Opnd""",0.993993993993994
"Clf MultNeg ""E"" and ""branchCount""",0.993993993993994
"Clf MultNeg ""B"" and ""T""",0.993993993993994
"Clf MultNeg ""B"" and ""lOCode""",0.990990990990991
"Clf MultNeg ""B"" and ""lOComment""",0.978978978978979
"Clf MultNeg ""B"" and ""locCodeAndComment""",0.993993993993994
"Clf MultNeg ""B"" and ""lOBlank""",0.9819819819819819
"Clf MultNeg ""B"" and ""uniq_Op""",0.987987987987988
"Clf MultNeg ""B"" and ""uniq_Opnd""",0.984984984984985
"Clf MultNeg ""B"" and ""total_Op""",0.990990990990991
"Clf MultNeg ""B"" and ""total_Opnd""",0.993993993993994
"Clf MultNeg ""B"" and ""branchCount""",0.987987987987988
"Clf MultNeg ""T"" and ""lOCode""",0.993993993993994
"Clf MultNeg ""T"" and ""lOComment""",0.9819819819819819
"Clf MultNeg ""T"" and ""locCodeAndComment""",0.996996996996997
"Clf MultNeg ""T"" and ""lOBlank""",0.9819819819819819
"Clf MultNeg ""T"" and ""uniq_Op""",0.987987987987988
"Clf MultNeg ""T"" and ""uniq_Opnd""",0.984984984984985
"Clf MultNeg ""T"" and ""total_Op""",0.993993993993994
"Clf MultNeg ""T"" and ""total_Opnd""",0.996996996996997
"Clf MultNeg ""T"" and ""branchCount""",0.993993993993994
"Clf MultNeg ""lOCode"" and ""lOComment""",0.9819819819819819
"Clf MultNeg ""lOCode"" and ""locCodeAndComment""",0.996996996996997
"Clf MultNeg ""lOCode"" and ""lOBlank""",0.9819819819819819
"Clf MultNeg ""lOCode"" and ""uniq_Op""",0.990990990990991
"Clf MultNeg ""lOCode"" and ""uniq_Opnd""",0.984984984984985
"Clf MultNeg ""lOCode"" and ""total_Op""",0.993993993993994
"Clf MultNeg ""lOCode"" and ""total_Opnd""",0.996996996996997
"Clf MultNeg ""lOCode"" and ""branchCount""",0.993993993993994
"Clf MultNeg ""lOComment"" and ""locCodeAndComment""",0.987987987987988
"Clf MultNeg ""lOComment"" and ""lOBlank""",0.9819819819819819
"Clf MultNeg ""lOComment"" and ""uniq_Op""",0.9819819819819819
"Clf MultNeg ""lOComment"" and ""uniq_Opnd""",0.984984984984985
"Clf MultNeg ""lOComment"" and ""total_Op""",0.984984984984985
"Clf MultNeg ""lOComment"" and ""total_Opnd""",0.978978978978979
"Clf MultNeg ""lOComment"" and ""branchCount""",0.978978978978979
"Clf MultNeg ""locCodeAndComment"" and ""lOBlank""",0.9819819819819819
"Clf MultNeg ""locCodeAndComment"" and ""uniq_Op""",0.993993993993994
"Clf MultNeg ""locCodeAndComment"" and ""uniq_Opnd""",0.990990990990991
"Clf MultNeg ""locCodeAndComment"" and ""total_Op""",0.996996996996997
"Clf MultNeg ""locCodeAndComment"" and ""total_Opnd""",0.996996996996997
"Clf MultNeg ""locCodeAndComment"" and ""branchCount""",0.993993993993994
"Clf MultNeg ""lOBlank"" and ""uniq_Op""",0.9819819819819819
"Clf MultNeg ""lOBlank"" and ""uniq_Opnd""",0.9819819819819819
"Clf MultNeg ""lOBlank"" and ""total_Op""",0.9819819819819819
"Clf MultNeg ""lOBlank"" and ""total_Opnd""",0.9819819819819819
"Clf MultNeg ""lOBlank"" and ""branchCount""",0.9819819819819819
"Clf MultNeg ""uniq_Op"" and ""uniq_Opnd""",0.9819819819819819
"Clf MultNeg ""uniq_Op"" and ""total_Op""",0.987987987987988
"Clf MultNeg ""uniq_Op"" and ""total_Opnd""",0.990990990990991
"Clf MultNeg ""uniq_Op"" and ""branchCount""",0.987987987987988
"Clf MultNeg ""uniq_Opnd"" and ""total_Op""",0.990990990990991
"Clf MultNeg ""uniq_Opnd"" and ""total_Opnd""",0.990990990990991
"Clf MultNeg ""uniq_Opnd"" and ""branchCount""",0.987987987987988
"Clf MultNeg ""total_Op"" and ""total_Opnd""",0.996996996996997
"Clf MultNeg ""total_Op"" and ""branchCount""",0.996996996996997
"Clf MultNeg ""total_Opnd"" and ""branchCount""",0.996996996996997
"Clf Binning ""loc"" and ""v(g)""",0.996996996996997
"Clf Binning ""loc"" and ""ev(g)""",0.993993993993994
"Clf Binning ""loc"" and ""iv(G)""",0.993993993993994
"Clf Binning ""loc"" and ""N""",0.993993993993994
"Clf Binning ""loc"" and ""V""",0.990990990990991
"Clf Binning ""loc"" and ""L""",0.996996996996997
"Clf Binning ""loc"" and ""D""",0.990990990990991
"Clf Binning ""loc"" and ""I""",0.990990990990991
"Clf Binning ""loc"" and ""E""",0.990990990990991
"Clf Binning ""loc"" and ""B""",0.993993993993994
"Clf Binning ""loc"" and ""T""",0.990990990990991
"Clf Binning ""loc"" and ""lOCode""",0.978978978978979
"Clf Binning ""loc"" and ""lOComment""",0.978978978978979
"Clf Binning ""loc"" and ""locCodeAndComment""",0.975975975975976
"Clf Binning ""loc"" and ""lOBlank""",0.984984984984985
"Clf Binning ""loc"" and ""uniq_Op""",0.987987987987988
"Clf Binning ""loc"" and ""uniq_Opnd""",0.984984984984985
"Clf Binning ""loc"" and ""total_Op""",0.990990990990991
"Clf Binning ""loc"" and ""total_Opnd""",0.996996996996997
"Clf Binning ""loc"" and ""branchCount""",0.993993993993994
"Clf Binning ""v(g)"" and ""ev(g)""",1.0
"Clf Binning ""v(g)"" and ""iv(G)""",0.996996996996997
"Clf Binning ""v(g)"" and ""N""",1.0
"Clf Binning ""v(g)"" and ""V""",0.993993993993994
"Clf Binning ""v(g)"" and ""L""",1.0
"Clf Binning ""v(g)"" and ""D""",0.996996996996997
"Clf Binning ""v(g)"" and ""I""",0.996996996996997
"Clf Binning ""v(g)"" and ""E""",0.993993993993994
"Clf Binning ""v(g)"" and ""B""",0.996996996996997
"Clf Binning ""v(g)"" and ""T""",0.996996996996997
"Clf Binning ""v(g)"" and ""lOCode""",0.993993993993994
"Clf Binning ""v(g)"" and ""lOComment""",0.996996996996997
"Clf Binning ""v(g)"" and ""locCodeAndComment""",0.996996996996997
"Clf Binning ""v(g)"" and ""lOBlank""",1.0
"Clf Binning ""v(g)"" and ""uniq_Op""",0.996996996996997
"Clf Binning ""v(g)"" and ""uniq_Opnd""",0.993993993993994
"Clf Binning ""v(g)"" and ""total_Op""",0.996996996996997
"Clf Binning ""v(g)"" and ""total_Opnd""",0.996996996996997
"Clf Binning ""v(g)"" and ""branchCount""",0.996996996996997
"Clf Binning ""ev(g)"" and ""iv(G)""",0.996996996996997
"Clf Binning ""ev(g)"" and ""N""",1.0
"Clf Binning ""ev(g)"" and ""V""",0.993993993993994
"Clf Binning ""ev(g)"" and ""L""",0.996996996996997
"Clf Binning ""ev(g)"" and ""D""",0.996996996996997
"Clf Binning ""ev(g)"" and ""I""",0.996996996996997
"Clf Binning ""ev(g)"" and ""E""",0.993993993993994
"Clf Binning ""ev(g)"" and ""B""",0.996996996996997
"Clf Binning ""ev(g)"" and ""T""",0.996996996996997
"Clf Binning ""ev(g)"" and ""lOCode""",0.993993993993994
"Clf Binning ""ev(g)"" and ""lOComment""",0.996996996996997
"Clf Binning ""ev(g)"" and ""locCodeAndComment""",0.996996996996997
"Clf Binning ""ev(g)"" and ""lOBlank""",1.0
"Clf Binning ""ev(g)"" and ""uniq_Op""",0.996996996996997
"Clf Binning ""ev(g)"" and ""uniq_Opnd""",0.993993993993994
"Clf Binning ""ev(g)"" and ""total_Op""",0.996996996996997
"Clf Binning ""ev(g)"" and ""total_Opnd""",0.993993993993994
"Clf Binning ""ev(g)"" and ""branchCount""",0.996996996996997
"Clf Binning ""iv(G)"" and ""N""",1.0
"Clf Binning ""iv(G)"" and ""V""",0.993993993993994
"Clf Binning ""iv(G)"" and ""L""",0.996996996996997
"Clf Binning ""iv(G)"" and ""D""",0.996996996996997
"Clf Binning ""iv(G)"" and ""I""",0.993993993993994
"Clf Binning ""iv(G)"" and ""E""",0.993993993993994
"Clf Binning ""iv(G)"" and ""B""",0.996996996996997
"Clf Binning ""iv(G)"" and ""T""",0.996996996996997
"Clf Binning ""iv(G)"" and ""lOCode""",0.993993993993994
"Clf Binning ""iv(G)"" and ""lOComment""",0.996996996996997
"Clf Binning ""iv(G)"" and ""locCodeAndComment""",0.996996996996997
"Clf Binning ""iv(G)"" and ""lOBlank""",1.0
"Clf Binning ""iv(G)"" and ""uniq_Op""",0.996996996996997
"Clf Binning ""iv(G)"" and ""uniq_Opnd""",0.990990990990991
"Clf Binning ""iv(G)"" and ""total_Op""",0.996996996996997
"Clf Binning ""iv(G)"" and ""total_Opnd""",0.993993993993994
"Clf Binning ""iv(G)"" and ""branchCount""",0.996996996996997
"Clf Binning ""N"" and ""V""",0.996996996996997
"Clf Binning ""N"" and ""L""",0.996996996996997
"Clf Binning ""N"" and ""D""",0.996996996996997
"Clf Binning ""N"" and ""I""",0.993993993993994
"Clf Binning ""N"" and ""E""",0.996996996996997
"Clf Binning ""N"" and ""B""",0.993993993993994
"Clf Binning ""N"" and ""T""",0.993993993993994
"Clf Binning ""N"" and ""lOCode""",0.996996996996997
"Clf Binning ""N"" and ""lOComment""",0.996996996996997
"Clf Binning ""N"" and ""locCodeAndComment""",1.0
"Clf Binning ""N"" and ""lOBlank""",0.993993993993994
"Clf Binning ""N"" and ""uniq_Op""",0.993993993993994
